pip,peep,driving_pressure,p_auc,decay_rate,decay_half_time,exp_concavity,tau_exp,rise_time,rise_slope,insp_auc,exp_auc,ie_auc_ratio,p_at_half_insp,p_mean,p_std,p_skewness,p_kurtosis,p_rms,zero_cross_rate,label
24.57,2.6,21.97,113.27499999999998,-3.139285714285711,2.0,0.6409523809523804,2.064666509506081,6.0,3.6616666666666666,61.045,52.23,1.1687727359754931,5.97,8.215714285714286,7.9294935113750356,0.8801504424244789,-0.7011336803390371,11.41817973984595,0.14285714285714285,Obstructive
25.53,0.31,25.220000000000002,114.32,-1.9645238095238085,2.0,0.9525000000000003,6.537553696174129,6.0,4.203333333333334,55.33,58.99000000000001,0.93795558569249,3.85,8.381428571428572,7.818170097501677,0.9883270192002855,-0.17137879082205076,11.461768125879559,0.2857142857142857,Obstructive
24.49,0.8,23.689999999999998,102.21999999999998,-3.1548809523809496,2.0,0.7387499999999998,1.631935938534508,6.0,3.948333333333333,56.435,45.785,1.232608933056678,5.14,7.339999999999998,8.210337560486952,0.9325126482255726,-0.6456180383187351,11.01295795220988,0.14285714285714285,Obstructive
24.07,-0.08,24.15,96.01,-3.384166666666664,2.0,0.7518452380952377,1.1690689210188345,6.0,4.0249999999999995,49.48500000000001,46.525,1.063621708758732,2.33,6.843571428571429,8.491581214980648,0.9268896154336438,-0.7292530442472076,10.906026839714427,0.14285714285714285,Obstructive
24.21,0.15,24.060000000000002,98.94000000000003,-3.210238095238093,2.0,0.6884523809523815,1.7843652489317436,6.0,4.010000000000001,49.91,49.03000000000001,1.0179481949826634,4.48,7.0914285714285725,7.951817274006219,0.9502497346766536,-0.49054141926675277,10.654565084641284,0.14285714285714285,Obstructive
24.18,0.01,24.169999999999998,98.36999999999999,-3.3448809523809504,2.0,0.744940476190476,1.428218806893031,6.0,4.028333333333333,50.845,47.525000000000006,1.069857969489742,2.83,7.031428571428572,8.479785085840373,0.9310173865410193,-0.7163963847967603,11.015795153194475,0.14285714285714285,Obstructive
24.22,0.1,24.119999999999997,99.895,-3.324999999999998,2.0,0.7089285714285712,1.4235349828223582,6.0,4.02,52.31,47.58500000000001,1.0992959966375957,3.93,7.146428571428572,8.295274564596449,0.8470643317240476,-0.8178835442793337,10.949110531388905,0.14285714285714285,Obstructive
24.0,1.96,22.04,115.24499999999999,-3.1476190476190458,2.0,0.5076190476190476,2.3110807733904695,6.0,3.6733333333333333,54.01,61.235,0.8820119212868457,2.47,8.334999999999999,7.428692203688537,0.9438693680954987,-0.5402319843139516,11.16502095193479,0.14285714285714285,Obstructive
26.31,-0.03,26.34,105.38000000000001,-3.49083333333333,2.0,0.5700595238095244,1.8468743811044015,6.0,4.39,44.675,60.705000000000005,0.7359360843423111,1.56,7.531428571428572,8.403947080426686,0.969165059367804,-0.35431434271389284,11.284890024149233,0.14285714285714285,Obstructive
28.21,0.36,27.85,110.63000000000001,-3.794047619047616,2.0,0.8203571428571426,1.7500081759100297,6.0,4.641666666666667,53.115,57.51500000000001,0.9234982178562113,2.18,7.937857142857145,9.136865810371447,0.9962875677604139,-0.4376977081520903,12.103383529292248,0.14285714285714285,Obstructive
28.11,0.25,27.86,125.11500000000001,-2.7639285714285693,2.0,1.107440476190476,4.890762994969113,6.0,4.6433333333333335,55.39,69.725,0.7944065973467194,2.71,9.175,8.894199353671873,0.8776175622218283,-0.5571333682594757,12.778396109952812,0.14285714285714285,Obstructive
24.43,2.7,21.73,110.185,-3.156666666666664,2.0,0.766071428571428,2.8295542407508982,6.0,3.6216666666666666,51.015,59.17,0.8621767787730269,1.91,8.070714285714285,8.037440481259933,0.963301202211338,-0.6535521849536781,11.390209768543711,0.14285714285714285,Obstructive
25.05,1.07,23.98,108.405,-2.786333333333333,3.0,0.4052380952380951,2.756092423755029,6.0,3.9966666666666666,38.53,69.875,0.5514132379248659,0.53,7.3119999999999985,7.578737977614304,1.0009797311633555,-0.21854330685262102,10.531030972005226,0.13333333333333333,Obstructive
24.95,0.81,24.14,120.04000000000002,-2.6709999999999994,2.0,0.4838744588744588,3.2946622001535357,6.0,4.023333333333333,49.57000000000001,70.47,0.7034198949907763,3.23,8.112666666666668,7.5568498433908,0.9113440990993452,-0.45764040655562477,11.08698967258471,0.13333333333333333,Obstructive
25.83,3.87,21.959999999999997,145.0,-2.7686666666666655,3.0,0.41138528138528124,3.810773241101394,6.0,3.6599999999999997,59.13,85.86999999999999,0.6885990450681263,4.0,9.909333333333334,7.273504855906049,0.9888004620129405,-0.4296712053567804,12.292223558006093,0.13333333333333333,Obstructive
26.67,2.9,23.770000000000003,136.235,-2.2033333333333336,2.0,0.4093939393939391,5.866998099242793,6.0,3.9616666666666673,41.775000000000006,94.46000000000001,0.4422506881219564,0.66,9.379333333333332,7.335645817210341,0.8154773833112832,-0.07666948305198584,11.90729160360715,0.13333333333333333,Obstructive
23.95,2.65,21.3,135.31,-2.1413333333333333,3.0,0.3073376623376621,5.681541578703105,6.0,3.5500000000000003,41.42,93.89,0.4411545425497923,0.3,9.293333333333333,7.1022847654039385,0.5955791759421364,-0.6322306556699253,11.696516290474413,0.13333333333333333,Obstructive
25.09,2.92,22.17,132.04,-2.6431666666666653,3.0,0.3940584415584414,4.4884228118039475,6.0,3.6950000000000003,38.475,93.565,0.4112114572756907,0.27,9.049999999999999,7.747830664127863,0.8430338743917605,-0.48262189485096973,11.913495708649078,0.13333333333333333,Obstructive
24.82,0.81,24.01,140.60500000000002,-2.2951666666666646,4.0,0.31388528138528154,5.625655577525191,6.0,4.001666666666667,39.825,100.78,0.39516769200238144,0.22,9.594000000000001,7.7197822076359985,0.47964515037667305,-0.8152819119229933,12.314214279982842,0.13333333333333333,Obstructive
25.67,1.65,24.020000000000003,134.41000000000003,-2.704333333333333,3.0,0.4245021645021643,4.517812287142845,6.0,4.003333333333334,39.239999999999995,95.16999999999999,0.4123148050856362,0.21,9.174666666666667,8.096130653315543,0.8258275151040748,-0.48948497875870967,12.236087610016531,0.13333333333333333,Obstructive
25.53,2.51,23.020000000000003,133.19500000000002,-3.0116666666666663,4.0,0.2535281385281383,3.1443902742331336,6.0,3.8366666666666673,42.44,90.755,0.46763263732025784,0.35,9.029333333333334,7.965654998526835,0.7001209726230253,-0.8146428711613121,12.040785688650057,0.13333333333333333,Obstructive
24.39,1.16,23.23,115.14500000000001,-3.2673809523809516,2.0,0.6065476190476188,1.6497132248375057,7.0,3.3185714285714285,63.575,51.56999999999999,1.2327903820050419,7.59,7.726666666666666,8.436833265838287,0.8472173201054416,-0.7867707112487015,11.440346731342252,0.13333333333333333,Obstructive
25.52,-0.02,25.54,124.44999999999997,-3.1622619047619023,2.0,0.47791666666666693,2.33614455227681,6.0,4.256666666666667,61.150000000000006,63.3,0.9660347551342814,8.33,8.918571428571429,8.402525009222659,0.6775796425341163,-0.7737938159603011,12.253299264163218,0.14285714285714285,Obstructive
25.46,-0.04,25.5,113.88499999999998,-3.2560714285714263,2.0,0.4631547619047628,2.0550677127800245,6.0,4.25,52.510000000000005,61.37499999999999,0.8555600814663953,2.72,8.142857142857144,8.317561823868672,0.7415727513803035,-0.757302587261071,11.63992943032118,0.14285714285714285,Obstructive
25.3,-0.07,25.37,108.095,-3.22440476190476,2.0,0.5869642857142863,2.346908147970714,6.0,4.2283333333333335,48.25,59.845,0.8062494778176957,1.3,7.740714285714285,8.268081021344083,0.8645074908662552,-0.5915515504253301,11.326068224612257,0.14285714285714285,Obstructive
26.03,0.42,25.61,116.07,-2.809642857142853,2.0,0.6433928571428574,4.150372164185452,6.0,4.2683333333333335,42.125,73.94500000000001,0.5696801676922036,0.42,8.492142857142857,7.715808612907685,0.8063763492316964,-0.2764315891067506,11.47389179211408,0.14285714285714285,Obstructive
24.49,1.76,22.729999999999997,111.49000000000001,-3.097619047619046,3.0,0.2626190476190478,2.505394995650786,6.0,3.7883333333333327,41.105000000000004,70.385,0.5840022732116218,0.9,8.069999999999999,7.512177732569583,0.7450410844747151,-0.6122811448445518,11.025321504868431,0.14285714285714285,Obstructive
